"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Power","Sim.Device","Sim.Pins","Tolerance","Vendor","Vendor Link","Vendor Ref"
"1","1","C1","100nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","https://mauser.pt/catalog/product_info.php?cPath=324_249_956&products_id=004-0764","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=004-0764","004-0764"
"2","1","C2","1nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","https://mauser.pt/catalog/product_info.php?products_id=004-5255","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=004-5255","004-5255"
"3","1","C3","0.1nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://mauser.pt/catalog/product_info.php?products_id=004-1063","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=004-1063","004-1063"
"4","2","D1, D3","BZX79C2V7","Diode:BZV55C2V7","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=007-0002","007-0787; 007-0002"
"5","4","D2, D4, D5, D10","US1M","Diode:US1M","Diode_SMD:D_SMA","https://www.diodes.com/assets/Datasheets/ds16008.pdf","","","D","1=K 2=A","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_258_260&products_id=007-0391","007-0391"
"6","2","D6, D7","BZV55C3V0","Diode:BZV55C3V0","Diode_SMD:D_MiniMELF","https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=007-0003","007-0003"
"7","2","D8, D9","SK510","Diode:1N5400","Diode_SMD:D_SMB_Handsoldering","http://www.vishay.com/docs/88516/1n5400.pdf","","","D","1=K 2=A","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=007-0047","007-0047"
"8","1","D11","SS34","Diode:1N5822","Diode_SMD:D_SMC_Handsoldering","http://www.vishay.com/docs/88526/1n5820.pdf","","","","","","","",""
"9","4","D12, D13, D14, D15","LED","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","",""
"10","2","D16, D17","LED Green","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","",""
"11","1","D18","LED Orange","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","",""
"12","1","D19","LED Blue","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","",""
"13","1","D20","LED Yellow","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","",""
"14","1","D21","LED_Dual_Red_Green","Device:LED_Dual_AAK","LED_THT:LED_D5.0mm-3","~","","","","","","","https://mauser.pt/catalog/product_info.php?products_id=017-0274","017-0274"
"15","1","F1","12V 30A","Device:Fuse","","~","","","","","","","",""
"16","2","F2, F6","12V 20A","Device:Fuse","","~","","","","","","","",""
"17","1","F3","12V 15A","Device:Fuse","","~","","","","","","","",""
"18","1","F4","12V 10A","Device:Fuse","","~","","","","","","","",""
"19","1","F5","12V 3A","Device:Fuse","","~","","","","","","","",""
"20","1","J1","XT60-M","Connector:Conn_01x02_Pin","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","~","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-2258","011-2258"
"21","1","J2","XT60L-F","Connector:Conn_01x02_Pin","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","~","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-2263","011-2263"
"22","1","J3","FuseBox","Connector_Generic:Conn_02x06_Odd_Even","","https://storage.googleapis.com/mauser-public-files/mauser.pt/catalog/userfiles/019-1006.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_263_3352&products_id=019-1006","019-1006"
"23","1","J4","ISP Port","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical_SMD","~","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_2395_2570_792&products_id=012-0075","012-0075"
"24","1","J5","MiniFit_2x10_F","Connector_Generic:Conn_02x10_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-20A_2x10_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-1621","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-1621","011-1621; 011-0341"
"25","4","J6, J7, J8, J9","MiniFit_2x03_F","Connector_Generic:Conn_02x03_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?cPath=1874_640_1003&products_id=011-0619","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=1874_640_1003&products_id=011-0619","011-0619; 011-0341"
"26","3","J10, J36, J39","MiniFit_2x04_M","Connector_Generic:Conn_02x04_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-08A_2x04_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-0795","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-0795","011-0795; 011-0345"
"27","1","J11","MiniFit_2x02_F","Connector_Generic:Conn_02x02_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-0346","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-0346","011-0346; 011-0345"
"28","3","J12, J18, J26","MiniFit_2x024_F","Connector_Generic:Conn_02x04_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-08A_2x04_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-0627","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-0627","011-0627; 011-0341"
"29","1","J13","FM Antenna","Connector:Conn_Coaxial",""," ~","","","","","","","",""
"30","1","J14","Aux In","Connector_Audio:AudioJack3","","~","","","","","","","",""
"31","2","J15, J34","USB_A","Connector:USB_A","Connector_USB:USB_A_Molex_67643_Horizontal"," ~","","","","","","","",""
"32","1","J16","Line out","Connector:Conn_Coaxial_x2",""," ~","","","","","","","",""
"33","1","J17","MiniFit_2x01_M","Connector_Generic:Conn_02x01","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-0532","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-0532","011-0532"
"34","14","J19, J20, J21, J22, J23, J24, J25, J27, J28, J29, J30, J31, J32, J33","Round","Connector:Conn_01x01_Pin","","~","","","","","","","",""
"35","1","J35","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","https://mauser.pt/catalog/product_info.php?products_id=013-1025","","","","","","","",""
"36","1","J37","MiniFit_2x01_F","Connector_Generic:Conn_02x01","Connector_Molex:Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?&products_id=011-0533","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?&products_id=011-0533","011-0533; 011-0345"
"37","1","J38","MiniFit_2x02_M","Connector_Generic:Conn_02x02_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?cPath=324_2395_1003&products_id=011-0346","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_2395_1003&products_id=011-0346","011-0346; 011-0345"
"38","1","J40","MiniFit_2x10_M","Connector_Generic:Conn_02x10_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-20A_2x10_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-1627","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-1627","011-1627; 011-0345"
"39","4","J41, J42, J43, J44","MiniFit_2x03_M","Connector_Generic:Conn_02x03_Counter_Clockwise","Connector_Molex:Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical","https://mauser.pt/catalog/product_info.php?products_id=011-0620","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=011-0620","011-0620; 011-0345"
"40","2","K1, K2","RAYEX-L90S","Relay:RAYEX-L90S","Relay_THT:Relay_SPDT_RAYEX-L90S","https://a3.sofastcdn.com/attachment/7jioKBjnRiiSrjrjknRiwS77gwbf3zmp/L90-SERIES.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_517_964","083-0077"
"41","1","L1","100µH","Device:L","Inductor_THT:L_Radial_D9.5mm_P5.00mm_Fastron_07HVP","~","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_540&products_id=031-0028","031-0028"
"42","2","LA1, LA2","Lämp","Device:Lamp","","~","","","","","","","",""
"43","1","LS1","Rear Left","Device:Speaker","","~","","","","","","","",""
"44","1","LS2","Front Left","Device:Speaker","","~","","","","","","","",""
"45","1","LS3","Front Right","Device:Speaker","","~","","","","","","","",""
"46","1","LS4","Rear Right","Device:Speaker","","~","","","","","","","",""
"47","4","Q1, Q2, Q3, Q4","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=002-0283","002-0283"
"48","1","Q5","BPW96B","Device:Q_Photo_NPN","LED_THT:LED_D5.0mm","https://storage.googleapis.com/mauser-public-files/mauser.pt/catalog/userfiles/bpw96.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=017-0313","017-0313; 017-0223"
"49","9","R1, R2, R7, R9, R10, R11, R12, R13, R14","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7556","","0.5W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7556","104-7556"
"50","4","R3, R4, R5, R6","15K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7646","104-7646"
"51","2","R8, R15","1.5K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"52","1","R16","3.6K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"53","1","R17","11K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"54","9","R18, R19, R20, R21, R22, R23, R24, R27, R28","470R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"55","2","R25, R26","200R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://mauser.pt/catalog/product_info.php?cPath=324_526_529&products_id=104-7109","","2W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_529&products_id=104-7109","104-7109"
"56","4","SW1, SW2, SW3, SW4","SW_SPDT","Switch:SW_SPDT","","~","","","","","","","",""
"57","1","U1","ATtiny84-20P","MCU_Microchip_ATtiny:ATtiny84-20P","Package_DIP:DIP-14_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8006.pdf","","","","","","PTRobotics","https://www.ptrobotics.com/microcontroladores-atmel/1603-attiny84-avr-14-pin-20mhz-8k.html","PTR001603"
"58","1","U2","LM2576HVT-ADJ","Regulator_Switching:LM2576HVT-ADJ","Package_TO_SOT_THT:TO-220-5_Vertical","http://www.ti.com/lit/ds/symlink/lm2576.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=001-2694","001-2694"
